stemid,plotid,no,species,azimuth,distance ,D62,D67,D89,D94,D99,D04,D09
320,7093,37,Tsca,220.8579105,5.700263305,32.7,34,40.9,42.3,43.9,45.5,46.9
327,7093,32,Tsca,228.4640855,15.73434572,42.4,43.4,48.7,49,52.2,,
326,7093,35,Tsca,231.3705107,10.87949142,19,19.5,21.4,21.7,22.2,23,23.7
318,7093,38,Tsca,232.3238091,3.674708628,19,19.5,21.1,21.4,21.4,21.4,21.5
328,7093,34,Tsca,233.8730207,11.96620591,16.7,17,18.2,17.5,,,
329,7093,915,Tsca,246.6213852,20.88617477,,,38.1,37.8,39.5,39.64,40
330,7093,926,Tsca,251.5202348,16.95497675,,,24.7,25,25.4,25.8,26.2
331,7093,914,Tsca,252.7862359,21.17339949,,,38.8,40.4,42.7,43.09,46.4
332,7093,39,Tsca,253.8274747,13.37939897,43.9,43.9,45.5,,,,
333,7093,916,Tsca,259.9556107,18.63358432,,,43.9,44.9,47.6,48.5,50.3
335,7093,40,Tsca,268.3261227,11.34729014,38.8,40.1,48.1,49.8,51.9,53.5,55.1
334,7093,917,Belu,268.6434661,21.44692054,,,26.8,26.4,25,,
336,7093,931,Tsca,273.6166328,16.52342118,,,19.2,19.1,19.1,19.8,19.6
337,7093,919,Belu,273.9667856,22.12220212,,,53,53.2,53.6,53.5,54.5
338,7093,41,Belu,276.5459786,13.39692994,51,51.5,55.5,55.7,56.1,56.2,56.7
339,7093,932,Tsca,287.4783141,17.54421499,,,35,35.5,36.4,36.5,38.8
340,7093,42,Tsca,287.9441427,9.09814602,16.7,17,17.4,17.6,17.9,17.8,17.8
341,7093,50,Tsca,291.1762194,15.16206817,19.3,19.5,20,20.1,20.2,,
347,7093,922,Tsca,291.7438769,21.76541821,,,26,25.9,25.9,25.89,26.5
342,7093,927,Tsca,294.1998498,16.59682098,,,38.7,38.8,38.2,38,38.6
343,7093,51,Acsa,294.7485301,15.57943926,28.4,28.7,30.9,31,30.7,,
352,7093,59,Tsca,295.4607254,3.367911169,,,7.5,7.5,7.6,7.5,7.7
346,7093,44,Tsca,297.0818356,6.799839693,27.9,28.4,30.7,30.9,31.1,31.3,31.8
344,7093,43,Tsca,298.3031287,8.203731859,26.6,27.4,31.4,31,31.4,32.2,32.6
345,7093,64,Tsca,304.0716778,13.29849381,,,5,4.7,4.9,4.8,4.9
349,7093,52,Tsca,311.310872,13.65558338,67.3,68.8,79.5,81.3,83,85,87.5
348,7093,925,Tsca,311.8499932,16.36186335,,,11.8,11.6,11.8,12.1,12.7
355,7093,45,Belu,318.3443151,5.579566869,57.6,57.9,60.1,59.7,59.6,60.8,59.7
350,7093,53,Tsca,319.8827406,14.33883085,13.4,13.4,14.5,14,,,
354,7093,46,Acsa,321.9632962,6.396669425,33,33.5,35.7,36.6,35.9,36.2,36
357,7093,47,Tsca,327.6447816,6.667665368,13.9,13.9,14.1,14.2,,,
353,7093,49,Tsca,329.1845719,9.754466241,23.1,23.6,25.1,25.8,25.9,26.1,26.3
351,7093,921,Tsca,329.779259,19.18232875,,,84.6,86.1,85.7,85.81,86.8
356,7093,928,Acru,336.1554205,16.28014937,,,54.5,55.6,56.5,57.5,58.1
358,7093,54,Tsca,344.7106918,14.27405345,23.3,23.6,24.2,24.3,24.3,24.6,24.7
276,7093,56,Tsca,350.1705035,9.206322118,13.7,13.9,14.9,15,15.1,15.4,15.2
277,7093,55,Tsca,351.4236247,9.978370727,28.1,29.2,35.1,36.4,37.9,39.6,40
278,7093,923,Tsca,358.7732717,17.4934519,,,54.4,54.8,56.5,56.71,59.7
359,7094,2,Acsa,5,6.9,32,32.5,36.7,38.6,38.4,40.9,41.8
360,7094,918,Acsa,5,16.4,,,49.2,49.7,49.2,49.2,50.5
361,7094,4,Tsca,30,12.8,13.7,13.9,14.4,14.6,14.6,,
362,7094,901,Tiam,31,17.6,,,38.2,39.7,40.4,40.62,43
363,7094,3,Tsca,34,13.9,29.7,30.4,34.2,35,35.8,36.3,37.3
364,7094,5,Tsca,35,12.4,12.9,12.9,13.2,13.1,13.1,,
365,7094,8,Tsca,36,8.2,25.9,26.6,29.2,29.6,30.3,30.8,31.7
366,7094,7,Belu,37,8.8,25.6,25.9,,,,,
367,7094,6,Tsca,40,10.7,17,17.2,17.3,17.3,,,
368,7094,10,Tsca,45,4.8,20,20.5,22.4,22.8,23.2,23.6,
369,7094,9,Acsa,49,6.6,43.6,43.9,45.4,47.1,47.1,,
371,7094,71,Tsca,53,12.4,,,9.8,10.1,10.2,10.4,10.6
370,7094,15,Tsca,53,16,39.8,40.8,45.8,46.4,46.6,47.1,48.5
372,7094,902,Tsca,54,18.5,,,30.2,31.3,31.9,32.07,32.8
373,7094,13,Tsca,55,8.5,20.5,20.8,22,21.8,22.1,22.1,22.5
375,7094,72,Tsca,55,15.9,,,6.9,7.1,7,7,7
374,7094,903,Tsca,55,19.5,,,25.3,25.6,26.2,26.29,27
376,7094,12,Tsca,56,8.2,36,37,41.7,42.8,44.3,45,45.7
377,7094,14,Tsca,62,10.7,29.2,29.9,33.1,33.6,34.4,35,36
380,7094,11,Tsca,76,3.7,20.5,20.8,23,22.9,23.4,24.1,25.4
378,7094,18,Acsa,76,12.3,35.5,35.8,38.4,37.9,37.3,37.7,38.3
379,7094,17,Acru,76,13.7,25.6,25.9,27,27.1,27,,
381,7094,919,Tsca,79,15.9,,,44.6,45.9,46,48.5,48.3
382,7094,75,Osvi,99,14.9,,,20.7,,,,
383,7094,19,Tsca,100,11.3,32.5,33.7,40.6,42.8,44.4,46.1,48
384,7094,904,Acru,103,18.1,,,27.7,28.7,29.9,30.12,31.3
385,7094,21,Belu,106,6.7,26.6,27.4,30.8,30.8,30.4,30.9,31
386,7094,74,Tsca,108,11,,,7.5,7.7,7.9,8,8
387,7094,73,Osvi,108,11.7,,,9.5,9.5,9.5,9.5,
388,7094,905,Acsa,108,16.7,,,45.6,46.8,46.9,47.03,47.9
389,7094,22,Tsca,115,6.3,25.9,26.6,30.1,30.9,32,33.3,34.4
390,7094,23,Belu,121,6.2,29.2,29.7,33,33.8,33.2,,
391,7094,20,Osvi,121,14.2,15.4,15.7,16.6,17,17.4,17,17
392,7094,24,Tsca,123,6.3,13.9,14.2,15.1,15.8,15.2,15.4,15.5
393,7094,25,Tsca,124,5.4,16.7,17,17.4,18.4,17.7,17.4,
394,7094,,Tsca,126,15.8,,,,,7.4,7.4,
1405,7094,,Osvi,131,14.8,,,16.4,16.8,17.1,17.4,17.8
395,7094,34,Belu,139,15.9,26.4,27.4,32.7,32.7,33.3,33.3,33.6
396,7094,26,Tsca,142,4.9,22.8,23.1,24.9,23.9,24.1,24.2,24.2
397,7094,906,Acru,143,16.8,,,33.9,34.8,35.8,35.99,37
398,7094,35,Tsca,144,16,18.2,18.7,20.9,21.5,21.8,22,22.6
399,7094,33,Tsca,153,13.2,47.2,49,56.3,57.5,59.1,60.6,62.5
400,7094,31,Tsca,154,10.8,19.5,20,21.5,21.8,21.9,22,22.4
401,7094,32,Acsa,154,11.4,20.8,21,22.2,22.8,23.1,23.4,23.2
402,7094,27,Tsca,156,4.7,12.9,13.2,13.5,13.4,13.4,13.5,13.4
403,7094,28,Tsca,160,4.7,15.7,16,17.1,17.5,17.6,18.4,18.2
1406,7094,,Tsca,161,9.6,,,,12.3,,,
404,7094,,Tsca,161,14,,,,12.3,12.2,,
405,7094,37,Tsca,162,13.3,15.7,16.2,18.2,18.5,18.5,18.8,19.4
406,7094,910,Acsa,170,16.5,,,29.3,29.8,29.7,29.4,29.2
407,7094,38,Belu,172,12.7,17,,,,,,
410,7094,29,Tsca,185,1.4,25.6,25.9,26.7,26.7,26.8,27.2,26.5
409,7094,30,Tsca,185,7,44.1,45.2,50.5,51.7,52.6,53.4,54
411,7094,39,Tsca,185,13.9,46.4,47.4,53.2,54.1,55.2,55.8,56.5
408,7094,907,Tsca,185,18.4,,,50.2,51,52,52.18,53.2
412,7094,908,Tsca,194,17.8,,,32.3,32.8,32.9,32.96,35
414,7094,76,Tsca,196,11.4,,,9.9,10.3,10.3,10,
413,7094,909,Tsca,196,16.9,,,17.3,17.3,17.1,17.08,
415,7094,40,Tsca,198,13.2,36.8,38.1,43.9,44.9,46.3,47.7,48.5
416,7094,41,Tsca,212,13.4,15.7,15.7,16.3,16.2,16.8,16.5,16.6
417,7094,42,Tsca,218,13.5,29.2,30.2,33.5,34.1,35.4,35.6,36.3
419,7094,70,Acsa,223,11.4,28.9,29.4,31.8,31.9,32.5,32.7,33.7
418,7094,43,Tsca,223,16,18.7,20.3,24.6,26,26.6,27.2,28
421,7094,46,Tsca,228,9.1,14.7,14.7,15.6,15.4,15.6,15.6,15.5
420,7094,,Tsca,228,14.5,,,,8.4,8.5,8.4,9.2
422,7094,44,Tsca,234,14.1,46.9,48,55.4,54.2,55.3,56.3,57
423,7094,47,Tsca,240,7.5,48.5,49.7,55.4,57,57.7,58.8,59.9
424,7094,45,Tsca,243,15.6,16.2,16.7,19.2,20.2,20.6,21,21.4
425,7094,911,Tiam,253,17.9,,,48,48.7,49.7,49.87,52.2
427,7094,81,Tsca,254,14.5,,,9.1,,,,
426,7094,912,Acsa,254,19.3,,,34.4,35.1,35.4,,
428,7094,48,Tsca,255,7.2,27.1,27.6,29.5,30,30.5,31.1,31.7
429,7094,49,Tsca,258,11.2,34.5,35.3,37.4,37.6,38,38.3,38.7
430,7094,50,Tsca,259,13.8,45.2,46.7,53.6,54.7,55.9,57,58.5
431,7094,56,Tsca,268,6,18.5,18.7,18.7,18.7,,,
432,7094,51,Tsca,281,13,13.4,14.4,16.8,17.5,17.8,18,18.3
433,7094,54,Acsa,284,7.7,36.5,36.8,,,,,
434,7094,913,Acsa,286,17.1,,,38.3,40.1,41.1,41.38,
435,7094,52,Tsca,287,9.6,,12.7,15.3,14.1,14.8,15,15.3
436,7094,77,Tsca,288,14.4,,,10.1,10,10,10.1,10.5
437,7094,53,Acsa,292,10.6,30.4,31.2,32.7,33.8,34.3,34.6,34.7
439,7094,60,Tsca,314,7,24.1,25.1,28.3,29.2,30.1,30.7,31.8
438,7094,61,Tsca,314,11.6,23.1,24.1,25.9,26.3,26.4,26.3,26.8
442,7094,58,Tsca,315,4.3,20.8,21.3,22.9,23.2,23.6,23.6,24
440,7094,78,Tsca,315,9.1,,,9.8,,,,
441,7094,69,Tsca,315,10.9,25.4,26.4,31.1,32.2,33.7,34.5,35.7
444,7094,62,Tsca,315,14.5,22.3,23.6,28.4,28,28.8,29.5,30
443,7094,914,Acsa,315,16.9,,,27.9,27.7,29.6,29.77,30.3
445,7094,63,Belu,320,15.9,15.4,15.4,16.1,16.5,16.1,16.1,
446,7094,80,Tsca,320,16.1,,,12.4,12.1,,,
447,7094,57,Belu,327,3.6,25.6,26.6,29.2,29.4,29.8,,
448,7094,59,Acsa,327,5,41.4,41.6,43.6,44.2,44.4,44.6,44.9
449,7094,65,Acsa,329,14.9,26.6,26.9,27.5,27.4,29.4,,
450,7094,66,Tsca,330,15.6,13.4,13.7,14.4,14.7,14.3,14.5,14.5
451,7094,67,Tsca,332,15.8,14.4,14.7,15.3,15.9,15.4,15.4,15.3
452,7094,915,Tiam,332,18.5,,,38.5,39,39.3,39.38,40
453,7094,68,Tsca,339,12.9,17.7,18.7,21.5,22.4,22.7,22.7,22.9
454,7094,16,Tsca,341,16.3,35.5,37,43.4,44.2,44.9,45.05,46
455,7094,79,Tsca,353,12.8,,,8.9,9.1,9.1,9,
456,7094,916,Belu,353,17.6,,,33.5,33.9,34.9,35.04,35.8
457,7094,917,Acsa,358,16.6,,,27.3,27.2,,,
458,7095,,Acsa,5,15,,,11.4,12,12.5,12.7,
460,7095,1,Tsca,10,1.5,18.5,18.7,19.8,20.2,20.5,21,21
459,7095,2,Acru,10,7.5,16.7,17.2,19.9,19.5,20,20.8,20.2
462,7095,6,Tsca,15,10.9,15.4,15.7,16.7,16.8,16.7,17,16.9
461,7095,7,Tsca,15,15.6,14.7,14.9,15.8,,,,
463,7095,82,Tsca,19,8.6,,,,,,,
464,7095,5,Tsca,19,10.8,32.7,33.2,36.9,37.2,37.6,38.3,38.3
465,7095,3,Tsca,27,7.8,37.8,38.6,42,41.9,42.6,43.5,43.5
466,7095,4,Tsca,27,10.6,43.1,43.9,49.5,46.5,47.3,47.2,47.9
467,7095,901,Tsca,45,16.4,,,47.9,48.8,49.9,50.1,51.4
468,7095,8,Acsa,46,15.9,28.9,29.4,30.6,,,,
469,7095,9,Pogr,48,11.2,47.7,49.7,59.8,62,64,65.2,66.7
470,7095,14,Acru,49,2,13.7,14.4,16.1,16.3,16.6,16.9,17
471,7095,11,Tsca,60,10.9,23.6,24.1,25.7,26.4,26.7,27.2,27.3
472,7095,10,Tsca,62,13.2,22.8,23.6,25.5,26.1,26.9,27.5,27.8
473,7095,902,Tsca,63,16.9,,,48.7,49.6,50.8,51.01,52
474,7095,12,Acru,64,9.1,17.5,17.5,19.1,19.1,19.2,18.9,
475,7095,13,Belu,67,5.2,14.2,14.4,16.4,,,,
476,7095,903,Tsca,79,16.7,,,34.9,36.2,37.5,37.76,39
477,7095,17,Tsca,89,6.9,25.1,25.1,26.3,26.2,26.7,26.6,26.3
478,7095,18,Tsca,89,7.6,27.1,27.4,28.3,28.4,28.9,28.9,
479,7095,904,Acru,91,17,,,47.7,48.5,49.3,49.46,50.2
480,7095,19,Tsca,101,12.3,22,22.3,23.7,23,23.2,23.1,
482,7095,20,Tsca,108,15.1,24.3,24.8,26,27.8,28.4,28.6,29
481,7095,,Tsca,108,15.1,,,10.5,10.4,10.8,10.6,10.5
484,7095,16,Tsca,109,5.6,50.5,51.3,55.9,56.5,57.5,58.2,59.3
483,7095,21,Tsca,109,14.7,35.3,36,40.2,40.7,41.7,42.2,42.6
485,7095,25,Tsca,116,8.3,44.7,45.7,50.6,51.8,52.9,54,55
486,7095,15,Tsca,125,5.1,29.2,29.7,31,31.2,31.4,31.4,31.5
487,7095,24,Belu,129,13.2,16,16,,,,,
489,7095,22,Belu,129,15.7,19.5,20,24.1,,,,
488,7095,23,Belu,129,15.9,13.7,13.9,,,,,
490,7095,26,Tsca,140,8.9,18.2,18.7,20,20.3,20.7,21,21
491,7095,28,Tsca,140,12.1,37.3,38.3,44.5,46.2,47.7,48.9,50
492,7095,27,Acru,146,10.1,36.8,37,,,,,
493,7095,29,Tsca,147,15.2,33.2,34.2,38.6,39.8,41.1,41.9,43.1
494,7095,30,Tsca,154,13.4,23.8,24.1,24.9,25.1,25.1,25.2,
495,7095,31,Tsca,159,13.5,23.1,23.6,26.1,26.1,26.4,26.8,
496,7095,906,Tsca,163,18.6,,,36.8,37.1,38.5,38.67,39.6
498,7095,37,Acsa,168,11.2,20,20.3,22.6,22.8,23.1,23.2,23.3
497,7095,32,Tsca,168,15.2,15.7,16,17.7,17.4,17.9,17.9,18.4
499,7095,33,Tsca,170,13.8,13.9,13.9,,,,,
500,7095,75,Tsca,176,8.9,,,10.8,10.4,,,
501,7095,38,Tsca,177,9.8,14.2,14.2,15.1,15.1,15.3,15.3,15.3
502,7095,907,Tsca,180,16.4,,,16,16.3,16.6,16.66,16.5
503,7095,39,Tsca,181,9.2,26.9,27.9,33.6,35,36.4,37.6,38.4
504,7095,34,Pogr,188,15.9,49.5,50.8,60.4,60.9,62.8,62.9,63.8
505,7095,40,Tsca,189,6.6,20,20.5,22,22,22.2,22.4,22.5
506,7095,908,Tsca,190,16.7,,,28.9,29.8,30.8,30.99,32.2
507,7095,36,Tsca,199,11.6,33.2,34.2,39.4,40.6,41.7,42.6,43
508,7095,35,Pogr,200,15.4,30.9,32.7,42.3,45.6,48.8,50.6,53.6
509,7095,41,Belu,211,5.9,23.1,23.6,25.2,25.1,25.2,25.6,
510,7095,909,Tsca,212,17,,,29.5,30.3,31.2,31.37,32.4
511,7095,76,Tsca,214,12.7,,,9.8,10,10.1,10.1,10
512,7095,46,Acsa,215,15.2,18.2,18.5,19.2,19.4,19.7,20,19.9
513,7095,77,Tsca,216,15.4,,,7.5,7.5,8,7.6,
514,7095,43,Tsca,218,10.3,28.1,28.9,32.2,32.7,33.5,34.3,35.5
515,7095,44,Bepa,225,12.1,40.8,41.4,42.6,,,,
516,7095,45,Tsca,225,14.7,20.3,20.8,21.8,21.7,21.7,,
517,7095,42,Tsca,226,6.2,28.9,29.7,32.7,31.7,,,
518,7095,910,Tsca,233,16.6,,,24.9,25.5,25.7,,
519,7095,911,Tsca,248,16.8,,,21.1,20.9,21.4,,
520,7095,47,Acru,250,14.6,15.2,15.7,17.9,18.4,18.8,19.5,19.4
521,7095,912,Tsca,252,16.8,,,21.9,22.3,23,23.11,23.4
522,7095,49,Acsa,253,12.5,23.8,24.3,26.5,27.2,28,28.5,28.8
523,7095,48,Tsca,258,14,14.7,15.2,17.9,17.8,17.6,18,18.4
524,7095,53,Acsa,260,7.8,28.1,28.7,30.1,30.2,30.2,30,
525,7095,50,Tsca,260,15.5,29.9,30.9,35.2,36.1,37.2,37.8,38.3
526,7095,54,Tsca,263,4.8,22.8,23.6,27.1,27.9,28.8,29.4,29.8
527,7095,78,Tsca,265,14.5,,,6.6,,,,
528,7095,51,Tsca,268,13.5,28.9,29.9,35.3,36.9,37.8,39,39.5
529,7095,79,Tsca,270,15.6,,,4.9,,,,
530,7095,914,Tsca,272,16.4,,,24.5,24.8,25.3,25.38,25.6
531,7095,52,Tsca,275,8.3,22.8,23.8,27.1,27.6,28.3,29,29.3
532,7095,55,Tsca,276,4.9,22,22.3,23.2,23.5,23.1,23.4,23.3
533,7095,56,Tsca,279,3.9,34,35,40.4,42,43.2,44.6,44.8
534,7095,57,Thoc,283,14.9,36.5,37.3,40.9,40.4,40.7,41,40.9
536,7095,59,Tsca,284,6.5,24.1,24.3,26.5,26.1,26.4,26.5,26.4
535,7095,58,Tsca,284,11.8,14.9,15.2,16.6,16,16.5,16.5,
537,7095,60,Tsca,285,4.2,23.6,24.1,25.2,25.7,25.4,25.5,25.5
538,7095,915,Tsca,292,20.3,,,27.2,27.2,26.7,26,26
539,7095,65,Belu,295,12.9,13.9,13.9,,,,,
540,7095,66,Belu,295,15.1,28.1,28.9,32.2,32.5,34,33.3,33.4
542,7095,80,Tsca,296,7,,,11.1,,,,
541,7095,61,Tsca,296,8,37.5,38.6,43.7,44.8,46,47,48.1
543,7095,67,Tsca,299,14.2,18.5,19.3,21.7,22.2,22.7,23,23.3
544,7095,62,Tsca,300,8.4,33,33.5,35.4,35.8,36.1,36.3,36.3
545,7095,63,Tsca,308,8.9,17.7,18,18.8,19.4,19,19.3,19.2
546,7095,64,Acsa,313,10.1,24.8,25.1,,,,,
547,7095,916,Tiam,316,16.4,,,28.8,28.3,28.6,28.58,29
548,7095,917,Tiam,318,16.4,,,23.5,23.3,,,
549,7095,68,Tsca,321,14.8,24.6,25.4,29.9,30.8,32.6,33.5,34.4
550,7095,918,Tsca,329,19.4,,,61.3,62.3,63.5,63.72,65.3
551,7095,69,Tsca,332,15.9,35,36,42.1,42.7,44.1,45,45.8
552,7095,74,Tsca,339,9.4,,,18.2,18.8,18.7,18.8,18.7
553,7095,70,Tsca,341,13,17,17.2,18.2,18.2,18.5,18.4,18.7
554,7095,72,Acru,344,10.4,34.7,35,35.5,34.6,,,
555,7095,81,Tsca,347,7.3,,,10.5,10.6,10.7,10.7,10.6
556,7095,73,Tsca,348,9.2,43.9,44.9,49.7,50.7,51.8,52.5,53.2
557,7096,67,Tsca,1,5.1,14.4,14.9,17.5,17.8,18.3,18.9,19.5
558,7096,2,Tsca,11,9.1,13.9,14.2,14.9,15,15.2,15.3,15.3
560,7096,3,Tsca,12,12.3,17.7,18,19.4,19.8,19.4,20.5,20.8
559,7096,4,Tsca,12,13.4,19.8,20.3,22.8,23.5,24.7,26,27.3
561,7096,1,Tsca,15,4.1,12.9,13.4,14.4,14.4,14.7,14.7,14.4
562,7096,6,Tiam,17,11.4,27.9,27.9,28.5,29.1,29.5,30,29.8
563,7096,5,Tiam,18,11.8,50.2,51,55.3,56.2,,,
564,7096,901,Tsca,21,18.2,,,44,45.1,46.5,46.75,48.2
565,7096,7,Tsca,22,15.8,18.5,19,21.3,21.9,22.2,22.7,23.4
566,7096,8,Tsca,31,8.8,17.2,17.7,19.3,19.6,19.7,20.2,20.5
567,7096,92,Acsa,45,14.8,,,10.5,,,,
568,7096,71,Tsca,46,15.6,,,9,9.4,,,
571,7096,9,Acsa,52,3.2,49,49.5,54.3,55.8,55.5,56.5,
572,7096,10,Tsca,52,9,14.7,15.4,19.6,20.7,21.7,22.7,24.5
570,7096,11,Tsca,52,12.3,14.7,14.7,15.2,15.4,15.3,15.4,15.2
569,7096,13,Tsca,52,14.2,14.2,14.7,16.5,17.2,17.3,18,19.3
573,7096,902,Tsca,53,16.8,,,25,25.9,,,
574,7096,12,Pigl,64,12.8,24.8,25.1,25.6,25.6,,,
575,7096,72,Tsca,65,11.2,,,7.2,,,,
576,7096,14,Tsca,67,14.7,28.9,29.7,33.2,33.8,34.8,35.8,37.4
577,7096,15,Tsca,70,13.1,19,19.5,21.5,22.5,,,
579,7096,74,Tsca,73,1.8,,,4.2,,,,
578,7096,16,Qubo,73,10.9,61.9,63.2,70.9,70.9,72.6,,
580,7096,17,Tiam,82,13,20,20,,,,,
582,7096,18,Tiam,83,12.7,28.9,29.2,30,30.1,,,
581,7096,903,Tsca,83,17,,,57.9,59.1,60.3,60.54,62.9
583,7096,73,Tsca,85,12.1,,,10.1,9.9,10.5,10.8,11.4
584,7096,21,Tsca,88,5,13.9,14.9,19.5,20.7,21.9,23.2,24.6
585,7096,75,Osvi,90,7.8,,,7.8,7.9,7.9,7.9,7.9
586,7096,76,Tsca,93,15.1,,,11,11.3,11.7,11.8,12.2
587,7096,904,Tsca,102,18.2,,,23.6,24.2,24.9,25.03,26.3
588,7096,905,Tsca,104,18.3,,,15.8,15.6,15.8,15.8,15.9
589,7096,22,Tsca,108,3.9,17.5,,,,,,
590,7096,19,Tsca,109,14.8,39.6,41.1,46.9,48.5,49.3,50.5,51.6
591,7096,906,Tsca,113,16.9,,,20.8,20.9,20.9,20.91,
592,7096,69,Tsca,117,10.8,,,14.2,14,14.4,14.5,14.6
593,7096,20,Tsca,118,12.3,16.2,17.2,21,21.9,23.1,23.5,24.7
594,7096,29,Tiam,126,15.1,12.7,12.9,,,,,
595,7096,70,Acsa,127,15.7,,,,,,,
596,7096,30,Tiam,128,15.4,38.6,39.6,45,46.3,47.6,48.5,50.4
597,7096,28,Acsa,133,13,17.2,18,20.1,20.7,20.9,21.3,21.7
598,7096,77,Tsca,137,10.6,,,10,10,10,9.7,9.6
599,7096,23,Tsca,140,2.8,19.8,21,25.5,26.5,27.5,28.3,29.5
600,7096,27,Tsca,141,13,14.9,15.7,17.1,17.7,17.6,18,17.9
602,7096,25,Belu,149,9.6,24.8,25.9,28.8,30.5,30.9,30.7,31.5
601,7096,26,Tsca,149,10.8,21.3,22.6,26.7,27.5,28.3,28.6,29.2
603,7096,24,Acsa,170,6.6,39.3,40.1,45.4,45.9,46.8,47,47.7
604,7096,33,Tsca,175,9.4,22.3,23.6,28.4,29.5,30.3,31,32
606,7096,34,Acsa,183,10.6,13.9,14.2,,,,,
607,7096,35,Belu,183,14.3,25.6,26.6,30.6,30.1,31.5,31.8,31.5
605,7096,36,Tsca,183,15.5,13.7,15.2,21.2,22.7,24,25.1,26.1
608,7096,32,Tsca,187,7.4,27.9,29.4,34.5,36,37.2,38.2,39.2
609,7096,907,Acsa,187,18.6,,,47.9,49.2,49.5,49.66,50.3
610,7096,78,Tsca,194,10.9,,,8.3,8.3,8.3,8.5,8.7
612,7096,79,Tsca,203,10.7,,,5.1,4.8,5,5,
613,7096,38,Acsa,203,13.6,34.2,34.7,38.5,37.3,37.6,37.5,
611,7096,39,Acsa,203,15.2,20,20.3,34.1,34.9,35.9,36.4,37.5
614,7096,80,Tsca,205,12.7,,,11,11.3,11.5,11.5,11.7
615,7096,45,Tsca,218,8.7,24.8,25.9,29.7,30.6,31.8,32.5,33.4
616,7096,80,Tsca,219,13.3,,,11.1,11,11.1,11.1,11.1
617,7096,37,Acsa,225,15.3,20.2,20.9,22,21.6,21.8,22,22.4
618,7096,46,Tsca,227,4.8,16.7,17.2,19.2,19.6,19.7,20.1,20.3
621,7096,43,Tiam,232,10.2,32.5,33.5,37.6,38.5,39.6,40.2,40.4
619,7096,44,Tiam,232,10.7,45.9,46.4,50.3,48.6,48.9,49.3,49.1
620,7096,40,Tsca,232,13,15.2,15.7,16.9,17.3,17.4,17,17.5
622,7096,47,Acsa,233,3.1,20,20.5,21.7,21.7,22.2,22,22
623,7096,41,Tsca,236,13.4,42.9,43.9,48.2,49.5,50.7,51.8,52.8
624,7096,42,Pist,239,10.2,22.3,23.1,26,26.9,27.6,28.5,29.4
625,7096,908,Tsca,240,15.9,,,40,41.2,42.1,43.1,44.5
626,7096,48,Acsa,244,2.1,44.4,44.7,,,,,
627,7096,50,Tsca,257,6.9,17.5,18.2,20.9,21.1,21.6,22.2,22.8
628,7096,909,Acsa,257,16.5,,,44.9,45,45.4,45,45
629,7096,51,Tsca,263,7.6,13.4,13.9,15.4,15.7,16,16.2,16.2
630,7096,81,Tsca,263,15.3,,,7.8,7.6,8.3,8.3,
631,7096,82,Tsca,265,14.2,,,7,7,7.3,7.5,
632,7096,83,Tsca,268,11.5,,,6.1,,,,
633,7096,84,Tsca,272,11,,,6.8,6.8,7,6.8,6.9
634,7096,85,Tsca,273,10.5,,,8,8.1,8.5,8.4,8.5
635,7096,87,Tsca,275,15.6,,,14.5,15,15.4,15.7,
636,7096,86,Tsca,276,10.3,,,9.4,9.5,9.6,9.6,10.3
637,7096,910,Acsa,277,16.9,,,33.4,33.5,33.7,,
638,7096,52,Acsa,278,11.8,49,49.7,53.8,54.9,55.8,56.2,57.3
639,7096,49,Tsca,291,5.9,23.8,25.1,30.4,31.9,33.4,34.8,36.1
640,7096,54,Tiam,297,11.4,31.7,32.2,34.8,36,36.1,36.3,36.9
641,7096,56,Tiam,298,15,52.3,54.1,61.9,63.3,65.3,65.8,67.2
642,7096,55,Tiam,300,11.3,32.5,33.2,36.8,37.5,38,38.3,39.2
643,7096,59,Tsca,304,7.8,13.4,13.9,16.3,16.8,17.5,18,18.2
644,7096,57,Tsca,304,14.8,14.4,15.2,17,17.4,17.7,17.9,18.4
645,7096,58,Tiam,306,12.6,14.9,15.7,18.6,19.1,19.9,20.6,21.4
646,7096,87,Tsca,308,14.8,,,12.1,12.4,12.5,13,13
647,7096,60,Pogr,315,12.5,49,,,,,,
648,7096,61,Tsca,316,14.4,34.5,35.5,39.7,40.5,42,42.4,44.2
649,7096,62,Tsca,321,14.1,13.2,13.9,,,,,
650,7096,64,Pigl,340,12.7,46.7,47.2,48.8,,,,
651,7096,63,Tsca,340,14.2,19.3,19.5,21.2,21.6,22.2,23,24.1
652,7096,88,Acsa,342,9.1,,,10.1,10.2,10.3,10.4,11
653,7096,89,Tsca,347,8.9,,,5.6,,,,
654,7096,68,Tsca,351,4.6,22.8,23.3,25.9,26.7,27.1,27.7,28.1
655,7096,90,Tsca,351,9.6,,,6.6,6.7,7,7.5,7.5
656,7096,65,Tsca,353,11.1,26.1,27.1,32.3,33.3,33.9,34.6,35.6
657,7096,91,Tsca,356,8,,,12,12.1,12,12.1,12.5
658,7096,66,Tsca,359,7.9,37,38.6,44.9,46.5,48.8,50,51.7
660,7097,9,Osvi,-1,-0.1,15.2,15.4,,,,,
661,7097,16,Acsa,-1,-0.1,13.7,14.2,,,,,
666,7097,22,Acsa,-1,-0.1,16.7,17.2,,,,,
664,7097,15,Tiam,-1,-0.1,47.7,47.7,,,,,
659,7097,29,Acsa,-1,-0.1,32.5,,,,,,
